"alias","pop","parent","dims","gating_method","gating_args","collapse","groupBy","preprocessing_method","preprocessing_args"
"nonDebris","nonDebris+","root","FSC-A","flowClust","Neg=1,pos=2",,,"prior_flowClust",
"lymph","lymph","nonDebris","FSC-A,SSC-A","flowClust","K=2,quantile=0.8,target=c(1e5,5e4)",,,"prior_flowClust",
"cd3","cd3-","lymph","cd3","mindensity",,,,,
"cd19","cd19+","cd3","cd19","mindensity",,,,,
"cd20","cd20+","cd3","cd20","mindensity",,,,,
"cd19&!cd20","cd19&!cd20","cd3",,"boolGate","cd19&!cd20",,,,
"cd19&cd20","cd19&cd20","cd3",,"boolGate","cd19&cd20",,,,
"plasmaB","cd27+cd38+","cd19&!cd20","cd27,cd38","flowClust","K=4,transitional=TRUE,target=c(3.5e3,3.5e3),quantile=0.995,translation=0.55",,,,
"transitional","transitional","cd19&cd20","cd38,cd24","flowClust","K=4,transitional=TRUE,target=c(3.5e3,3.5e3),quantile=0.995,translation=0.55",,,,
"cd27gate","cd27+","cd19&cd20","cd27","flowClust","Neg=1,pos=1",,,,
"IgDgate","IgD+","cd27gate","IgD","flowClust","Neg=1,pos=1",,,,
"*","IgD+/-cd27+/-","cd19&cd20","IgD,cd27","refGate","cd27gate:IgDgate",,,,
